group	position	effect
chr1	10958.2	0.265996822087847
chr1	16797.7	-0.541498670372732
chr1	65146.1	0.379359984517389
chr1	71171.1	0.534312983792217
chr1	114693	0.0147247996425983
chr1	224268	-0.447658311918787
chr1	244450	0.220037092556979
chr1	282602	-0.248384893921263
chr1	296187	0.0318893989323511
chr1	409535	-0.147107284181526
chr1	415521	0.983743912312854
chr1	425863	1.01943095425566
chr1	433778	0.619828378664298
chr1	472339	-1.28429524620775
chr1	517229	-1.29867879068006
chr1	573946	0.712638808043565
chr1	611060	0.068798955052514
chr1	625771	-0.192067242553597
chr1	633940	0.0941089919421847
chr1	813734	0.383946864726928
chr1	826721	-0.659227512136905
chr1	831985	-0.598725108630756
chr1	839415	0.463348089595659
chr1	868938	0.112389872572699
chr1	869255	-0.606467315695949
chr1	876487	0.239807799928552
chr1	893100	0.268848260675987
chr1	984953	0.0638547036219506
chr1	985449	-0.708086090701292
chr1	994629	1.11210867800956
chr1	1056300	-0.318150424103309
chr1	1138590	-0.307242806542371
chr1	1218760	0.168951059369436
chr1	1229910	0.622360359840781
chr1	1252000	-0.63651125055525
chr1	1412670	-0.210077007896577
chr1	1418890	-0.299080350912762
chr1	1424280	0.83395264176165
chr1	1433250	0.127010726032147
chr1	1441490	-0.965242933849391
chr1	1504800	0.0476764915966315
chr1	1604480	-0.169752107809207
chr1	1606200	-0.3050004920026
chr1	1650960	0.533227823830583
chr1	1684680	0.899474404735894
chr1	1696120	0.309699203223186
chr1	1727250	0.0142521520872917
chr1	1804100	0.234282492390146
chr1	1826690	-0.06804259472476
chr1	1927670	-0.614870581429439
chr1	1943700	0.378142309753721
chr1	1945090	0.328634047963137
chr1	1993940	-0.549615678452977
chr1	1998890	-0.791894083696647
chr1	2012910	0.200678657312207
chr1	2018190	1.68746161946201
chr1	2085840	-0.275993612207353
chr1	2151530	-0.403796023532296
chr1	2256830	-1.00393613132645
chr1	2316660	-0.858188014203087
chr1	2320840	0.314842576700474
chr1	2331050	0.118293468935296
chr1	2348150	-0.467819603575852
